Question,Office,Get to know,Couples,Funny,Dirty,Spicy,Premium
Who is most likely to call the restaurant manager to complain during a meal?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to forget their car keys inside their car?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to click on a spam ad pop-up on the internet?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get drunk after one drink?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to tell a joke that gets them into trouble?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to stay up all night scrolling on their phone?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to disappear for a year?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to take the day off after partying the previous night?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to show up at work drunk?,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to have a side hustle?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to forget to text back?,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Who is most likely to embarrass you in front of your parents?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to make you laugh when you are sad?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to pick up your calls in the middle of the night?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to send memes and GIFs to you everyday?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to bake you a birthday cake?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to cancel on their friends without a proper reason?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to do TikTok dance videos with you?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to keep a friend's secret?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to tell the most lame jokes?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to be the best liar?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to give you a nickname?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to be asked for ID at age 35?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to forget your birthday?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to text back immediately?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to be a cool parent?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to spend all their money on clothes?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to save you from a bad date?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to tell you to leave a bad relationship behind?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to have the best snacks?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to have the best dance moves at a party?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to be an awesome DJ?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get caught texting their ex?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to sing in the shower?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to travel with you to Europe?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to move in with you?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to cook your favorite meals for you?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get you the best birthday gift?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to treat your house like it's their house?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get along better with your parents?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to watch a horror movie by themselves at night?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to adopt multiple pets?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to win an Olympic gold medal?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a social media influencer?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to win a marathon?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to win a hot dog eating contest?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is the most likely to become a world-class athlete in any sport?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a famous stand-up comedian?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a famous scientist?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a famous political leader?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to win a game of chess against a grandmaster?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a professional photographer?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to become a famous motivational speaker?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to invent a groundbreaking technology?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to be a professional athlete in an unconventional sport?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would struggle the most when it comes to assembling a bookcase from IKEA?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most seductive voice?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the best at giving a sensual massage?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most attractive smile?,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most irresistible eyes?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to have a secret admirer?,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most alluring dance moves?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the most likely to try role-playing in the bedroom?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most captivating scent?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to write or receive a steamy love letter?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most enticing style of flirting?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the most likely to star in a romantic movie?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most intriguing dating history?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to have a passionate secret romance?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most magnetic personality?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to have a sexy hidden talent?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the most likely to try a daring new experience with a partner?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most tempting guilty pleasure?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to leave someone breathless with a single touch?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most unforgettable kiss?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who would be the most likely to have a steamy love scene in a novel written about them?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who is most likely to leave a trail of rose petals leading to the bedroom?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who would be the most adventurous in trying new things in the bedroom?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who has the most attractive body language?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who would be the best at whispering sweet nothings in someone's ear?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who has the most appealing sense of humor when it comes to flirting?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who would be the most likely to have a secret crush on a friend?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who is the most likely to give or receive a passionate surprise?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who has the most enticing way of making eye contact?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who would be the most likely to leave a sexy note for their partner to find?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who has the most captivating way of telling a romantic story?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who is the most likely to plan a spontaneous romantic getaway?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who has the most irresistible charm?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who is the most likely to have a steamy encounter on a first date?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who has the most enticing taste in music for setting the mood?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who is the most likely to have a secret fantasy they've never shared with anyone?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who would be the most likely to give a partner a sexy nickname?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who has the most attractive way of walking?,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Who is the most likely to have a passionate encounter in an unexpected place?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most memorable way of saying goodbye after a romantic evening?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the most likely to have a love affair that turns into a lifelong partnership?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to experiment with sexy costumes or outfits?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most attractive body language?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who would be the most likely to get caught in a risky situation?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who has the most suggestive sense of humor?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is the most likely to have a sexy dream about someone they know?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most tempting lips?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the most likely to leave a trail of rose petals to the bedroom?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most enticing walk?,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Who is the most likely to try a sensual new food or drink with a partner?,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Who has the most captivating way of whispering in someone's ear?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who would be the most likely to read or write erotic literature?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who is the most likely to surprise their partner with a sexy getaway?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Who has the most irresistible charm?,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Who is the most likely to initiate a steamy game of truth or dare?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who would be the most likely to master the art of seduction?,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Who has the most enticing taste in music for setting the mood?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who is the most likely to leave a sexy note or text for their partner to find?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who has the most intriguing collection of lingerie or intimate wear?,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Who would be the most likely to share a passionate dance under the moonlight?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who is the most likely to pee at the shower?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Who is most likely to give their kid a pretty terrible name?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who is most likely to talk while dreaming?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who is most likely to fart in an elevator full of people?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who is most likely to have gotten suspended from school?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who is most likely to get into a bar fight?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who is most likely to forget to flush the toilet?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who is most likely to eat something off the floor?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Who is most likely to take a ride from a stranger?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get into an argument with a little kid?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to eat food that doesn't belong to them?,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to get into a fight on the internet?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to eat pop tarts for breakfast?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to pick their nose when they think nobody is watching?,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to crack dirty jokes and make everyone uncomfortable?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to be drinking at 3:00 pm?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to snack late at night?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Who is most likely to eat weird food combinations?,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to lick their plate after a meal?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to burp in a crowd?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to try eating cat food?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to forget wearing underwear?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to eat something alive?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to kiss a frog?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to try the weird things in public?,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Who is most likely not to take a bath for days?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to get arrested for a dare in public?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to be hungover at a church service?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to get kicked out of a theater?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to swear in front of a kid?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to have the most parking tickets?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to stalk their favorite celebrity?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to eat something gross?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to laugh during a serious moment?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to crush on a celebrity?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to end up doing household chores?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is most likely to walk-around with food stuck in their teeth?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Who is most likely to get cranky when hungry?,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
